effect_generation,rarity,availability,release_date,release_update
Halloween 2011,Limited,['No Longer Unboxable'],2011-10-27,Very Scary Halloween Special
Halloween 2012,Limited,['No Longer Unboxable'],2012-10-26,Spectral Halloween Special
Halloween 2016,Pseudo-Limited,['Creepy Crawley Case'],2016-10-21,Scream Fortress VIII
Summer 2020,Pseudo-Limited,['Summer 2020 Cosmetic Case'],2020-08-21,Summer 2020 Pack
Halloween 2014,Limited,['No Longer Unboxable'],2014-10-29,Scream Fortress VI
Halloween 2018,Pseudo-Limited,['Violet Vermin Case'],2018-10-19,Scream Fortress X
Halloween 2013,Limited,['No Longer Unboxable'],2013-10-29,Scream Fortress V
Halloween 2020,Pseudo-Limited,['Wicked Windfall Case'],2020-10-01,Scream Fortress XII
Smissmas 2019,Pseudo-Limited,['Winter 2019 Cosmetic Case'],2019-12-16,Smissmas 2019
Second Generation,Common,"['Legacy Crates #26 - #58', 'Cosmetic Cases']",2011-08-18,Manno-Technology Bundle
Invasion,Pseudo-Limited,"['Confidential Collection Case', 'Quarantined Collection Case']",2015-10-06,Invasion Community Update
End of the Line,Pseudo-Limited,['End of the Line Community Crate'],2014-12-08,End of the Line Update
Smissmas 2020,Pseudo-Limited,['Winter 2020 Cosmetic Case'],2020-12-03,Smissmas 2020
Third Generation,Common,"['Legacy Crates #59 - #103', 'Cosmetic Cases']",2013-06-19,Summer Event 2013
Robotic Boogaloo,Pseudo-Limited,['Robo Community Crate'],2013-05-17,Robotic Boogaloo
Halloween 2019,Pseudo-Limited,['Spooky Spoils Case'],2019-10-10,Scream Fortress XI
First Generation,Common,"['Legacy Crates #1 - #25', 'Cosmetic Cases']",2010-09-30,Mann-Conomy Update
Halloween 2015,Pseudo-Limited,['Gargoyle Case'],2015-10-28,Scream Fortress VII
